	raw_class	ASTOR_Hypothalamus	ASTRO	EX1	EX2	EX_Hippocampus	EX_Pontine	EX_Thalamus	IN_1_Hypothalamus	IN_1_Thalamus	IN_2_Hypothalamus	IN_4_Striatum	IN_Striatum	L2/3_Cortex	L3-L6_Cortex	L3/L4_Cortex	L3_Cortex	L4_Cortex	L5/6_Cortex	L5_Cortex	L6_Cortex	LAMP5_KIT_Cortex	MG_1	OLG	OPC	PC	PVALB_Cortex	SNCG_LHX6_Cortex	SST_Cortex	VIP	VLMC	granule_cerebellum	interneuron_cerebellum	mosttype
type0	type0	0.0	0.0004	0.002	0.0036	0.865	0.0028	0.0028	0.0274	0.0008	0.0012	0.0	0.0028	0.0036	0.0155	0.0	0.0016	0.0	0.0044	0.0012	0.0143	0.0	0.0357	0.0012	0.0012	0.0056	0.0004	0.0	0.0	0.0012	0.0012	0.0036	0.0008	EX_Hippocampus
type1	type1	0.0	0.0	0.0	0.0021	0.9026	0.0026	0.0005	0.0175	0.0	0.0005	0.0	0.0005	0.0041	0.0149	0.001	0.0113	0.001	0.0046	0.0026	0.0077	0.0	0.0222	0.0015	0.0	0.0021	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	EX_Hippocampus
type10	type10	0.0	0.0021	0.0	0.0	0.6638	0.0444	0.0042	0.1332	0.0	0.0063	0.0	0.0	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0085	0.0	0.0888	0.0021	0.0	0.0211	0.0	0.0	0.0	0.0021	0.0021	0.0085	0.0	EX_Hippocampus
type11	type11	0.0	0.0	0.0022	0.0	0.8609	0.0022	0.0022	0.0375	0.0	0.0044	0.0	0.0	0.0	0.0088	0.0	0.0022	0.0	0.0	0.0022	0.0066	0.0	0.0309	0.0022	0.0	0.011	0.0	0.0022	0.0	0.011	0.0022	0.0044	0.0066	EX_Hippocampus
type12	type12	0.0	0.0	0.0025	0.01	0.7731	0.0025	0.0075	0.0224	0.0	0.0025	0.0	0.0025	0.0025	0.0299	0.0025	0.0025	0.0	0.0125	0.01	0.0574	0.0	0.0474	0.0	0.0	0.0025	0.0025	0.0	0.0025	0.0025	0.0	0.0025	0.0	EX_Hippocampus
type13	type13	0.0	0.0	0.0	0.0	0.3649	0.0086	0.0	0.1149	0.0029	0.0029	0.0	0.4052	0.0	0.0144	0.0	0.0	0.0	0.0	0.0	0.0029	0.0	0.0431	0.0	0.0	0.0201	0.0	0.0	0.0	0.0	0.0029	0.0172	0.0	IN_Striatum
type14	type14	0.0	0.0	0.0088	0.0029	0.4006	0.0175	0.0029	0.2135	0.0	0.0322	0.0	0.0585	0.0	0.0117	0.0	0.0	0.0	0.0029	0.0058	0.0088	0.0	0.1374	0.0029	0.0	0.0322	0.0	0.0	0.0	0.0146	0.0146	0.0322	0.0	EX_Hippocampus
type15	type15	0.0	0.0	0.0032	0.0032	0.0349	0.0	0.0	0.2921	0.0032	0.1746	0.0	0.0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063	0.0095	0.0032	0.0032	0.0	0.0	0.0032	0.0095	0.4413	0.0	0.0063	0.0032	VIP
type16	type16	0.0	0.0044	0.0044	0.0	0.8319	0.0088	0.0	0.0575	0.0	0.0	0.0	0.0044	0.0	0.0133	0.0044	0.0	0.0	0.0	0.0	0.0133	0.0	0.031	0.0	0.0	0.0088	0.0	0.0	0.0	0.0044	0.0	0.0088	0.0044	EX_Hippocampus
type17	type17	0.0	0.0	0.0	0.0	0.8974	0.0064	0.0	0.0064	0.0	0.0	0.0	0.0064	0.0	0.0	0.0	0.0192	0.0	0.0128	0.0	0.0128	0.0	0.0192	0.0	0.0	0.0064	0.0	0.0	0.0	0.0064	0.0	0.0064	0.0	EX_Hippocampus
type18	type18	0.0	0.0	0.0135	0.0	0.2838	0.0405	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0135	0.0676	0.4189	0.0	0.0946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	L6_Cortex
type19	type19	0.0	0.0	0.0149	0.0	0.7761	0.0299	0.0299	0.0299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0299	0.0	0.0448	0.0	0.0	0.0299	0.0	0.0	0.0	0.0	0.0	0.0	0.0149	EX_Hippocampus
type2	type2	0.0	0.0	0.0123	0.0031	0.6103	0.0319	0.0067	0.0306	0.0049	0.0012	0.0	0.0	0.0006	0.0827	0.0208	0.0061	0.0	0.0025	0.0098	0.0404	0.0	0.1085	0.0006	0.0	0.0116	0.0012	0.0	0.0	0.0	0.0025	0.011	0.0006	EX_Hippocampus
type3	type3	0.0	0.0	0.0026	0.0009	0.8765	0.0043	0.0026	0.0204	0.0009	0.0009	0.0	0.0	0.0026	0.0162	0.0026	0.0119	0.0	0.0051	0.0026	0.0153	0.0	0.0307	0.0	0.0	0.0009	0.0009	0.0	0.0	0.0009	0.0009	0.0009	0.0	EX_Hippocampus
type4	type4	0.0	0.0018	0.0027	0.0	0.6307	0.0404	0.0027	0.1186	0.0027	0.0045	0.0009	0.0018	0.0	0.027	0.0009	0.0009	0.0	0.0	0.0018	0.0162	0.0	0.0836	0.0045	0.0009	0.0296	0.0	0.0009	0.0	0.0	0.0135	0.0126	0.0009	EX_Hippocampus
type5	type5	0.0	0.0029	0.0019	0.0038	0.6784	0.0219	0.0019	0.1011	0.0	0.0076	0.0	0.0019	0.0	0.0239	0.0	0.0	0.0	0.0	0.0019	0.0105	0.0	0.0763	0.0029	0.001	0.0334	0.0	0.0	0.0	0.0076	0.0086	0.0124	0.0	EX_Hippocampus
type6	type6	0.0	0.0	0.0029	0.0068	0.7734	0.0127	0.0	0.0342	0.0	0.0049	0.0	0.0	0.002	0.0264	0.002	0.0039	0.001	0.0039	0.0088	0.042	0.002	0.0557	0.0	0.0	0.0137	0.0	0.0	0.0	0.0	0.002	0.001	0.001	EX_Hippocampus
type7	type7	0.0	0.0	0.0026	0.0	0.0066	0.0013	0.0013	0.1162	0.0	0.0515	0.0198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0819	0.0079	0.0	0.0	0.0	0.395	0.0264	0.1717	0.1176	0.0	0.0	0.0	PVALB_Cortex
type8	type8	0.0015	0.0581	0.0122	0.0	0.3639	0.0275	0.0	0.1865	0.0	0.0214	0.0	0.0031	0.0	0.0138	0.0	0.0	0.0	0.0	0.0015	0.0061	0.0	0.0979	0.0046	0.0	0.1498	0.0015	0.0	0.0	0.0076	0.0398	0.0031	0.0	EX_Hippocampus
type9	type9	0.0	0.0	0.0	0.0	0.0101	0.0	0.002	0.0221	0.002	0.1932	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.002	0.0	0.7565	0.004	0.002	0.0	0.0	SST_Cortex
